2024-03-18 13:39:27.838 INFO  (qtp693267461-19-null-5) [c: s: r: x:restaurants t:null-5] o.a.s.c.S.Request webapp=/solr path=/select params={q=id:8192bc92\-a6fd\-483a\-948d\-57d0e0e81300&start=0&rows=1&wt=javabin&version=2} hits=1 status=0 QTime=15
2024-03-18 13:39:57.923 INFO  (qtp693267461-24-null-6) [c: s: r: x:restaurants t:null-6] o.a.s.c.S.Request webapp=/solr path=/select params={q=id:8192bc92\-a6fd\-483a\-948d\-57d0e0e81300&start=0&rows=1&wt=javabin&version=2} hits=1 status=0 QTime=0
2024-03-18 13:40:16.849 INFO  (qtp693267461-25-null-7) [c: s: r: x:restaurants t:null-7] o.a.s.c.S.Request webapp=/solr path=/select params={q=id:49e4cf70\-a532\-4c8d\-8be0\-325a025063f1&start=0&rows=1&wt=javabin&version=2} hits=1 status=0 QTime=2
2024-03-18 13:40:16.877 INFO  (qtp693267461-24-null-8) [c: s: r: x:restaurants t:null-8] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{delete=[49e4cf70-a532-4c8d-8be0-325a025063f1 (-1793871542349725696)]} 0 18
2024-03-18 13:40:16.943 INFO  (searcherExecutor-13-thread-1-processing-restaurants null-9) [c: s: r: x:restaurants t:null-9] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-18 13:40:16.949 INFO  (searcherExecutor-13-thread-1-processing-restaurants null-9) [c: s: r: x:restaurants t:null-9] o.a.s.c.SolrCore Registered new searcher autowarm time: 4 ms
2024-03-18 13:40:16.978 INFO  (qtp693267461-25-null-9) [c: s: r: x:restaurants t:null-9] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 96
2024-03-18 13:40:19.640 INFO  (qtp693267461-26-null-10) [c: s: r: x: t:null-10] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1710767341755} status=0 QTime=0
2024-03-18 13:40:19.654 INFO  (qtp693267461-27-null-11) [c: s: r: x: t:null-11] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710767341755} status=0 QTime=7
2024-03-18 13:40:19.657 INFO  (qtp693267461-18-null-12) [c: s: r: x:restaurants t:null-12] o.a.s.c.S.Request webapp=/solr path=/config/params params={wt=json&_=1710768328786} status=0 QTime=0
2024-03-18 13:40:19.668 INFO  (qtp693267461-24-null-13) [c: s: r: x:restaurants t:null-13] o.a.s.c.S.Request webapp=/solr path=/select params={q=*:*&indent=true&q.op=OR&rows=100&useParams=&_=1710768328785} hits=11 status=0 QTime=0
2024-03-18 13:40:40.145 INFO  (qtp693267461-27-null-14) [c: s: r: x:restaurants t:null-14] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[6862a271-608a-4a23-9c5f-e3e2c089708b (1793871566714437632)]} 0 41
2024-03-18 13:40:40.326 INFO  (searcherExecutor-13-thread-1-processing-restaurants null-15) [c: s: r: x:restaurants t:null-15] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-18 13:40:40.333 INFO  (searcherExecutor-13-thread-1-processing-restaurants null-15) [c: s: r: x:restaurants t:null-15] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-18 13:40:40.334 INFO  (qtp693267461-24-null-15) [c: s: r: x:restaurants t:null-15] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 185
2024-03-18 13:40:49.151 INFO  (qtp693267461-26-null-17) [c: s: r: x: t:null-17] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1710767341755} status=0 QTime=0
2024-03-18 13:40:49.151 INFO  (qtp693267461-25-null-18) [c: s: r: x:restaurants t:null-18] o.a.s.c.S.Request webapp=/solr path=/config/params params={wt=json&_=1710768328786} status=0 QTime=0
2024-03-18 13:40:49.151 INFO  (qtp693267461-21-null-19) [c: s: r: x:restaurants t:null-19] o.a.s.c.S.Request webapp=/solr path=/select params={q=*:*&indent=true&q.op=OR&rows=100&useParams=&_=1710768328785} hits=12 status=0 QTime=0
2024-03-18 13:40:49.157 INFO  (qtp693267461-27-null-16) [c: s: r: x: t:null-16] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710767341755} status=0 QTime=6
2024-03-18 13:44:18.147 INFO  (qtp693267461-26-null-20) [c: s: r: x:restaurants t:null-20] o.a.s.c.S.Request webapp=/solr path=/select params={q=latitude:[40.97854764256111+TO+41.158411963744854]+AND+longitude:[28.877671631271504+TO+29.11624223186929]&start=0&rows=0&wt=javabin&version=2} hits=6 status=0 QTime=16
2024-03-18 13:44:18.153 INFO  (qtp693267461-23-null-21) [c: s: r: x:restaurants t:null-21] o.a.s.c.S.Request webapp=/solr path=/select params={q=latitude:[40.97854764256111+TO+41.158411963744854]+AND+longitude:[28.877671631271504+TO+29.11624223186929]&start=0&rows=6&wt=javabin&version=2} hits=6 status=0 QTime=0
2024-03-18 13:44:51.831 INFO  (qtp693267461-26-null-22) [c: s: r: x:restaurants t:null-22] o.a.s.c.S.Request webapp=/solr path=/select params={q=latitude:[40.88736654793296+TO+41.067230869116706]+AND+longitude:[28.759324233428693+TO+28.997564759441417]&start=0&rows=0&wt=javabin&version=2} hits=3 status=0 QTime=6
2024-03-18 13:44:51.835 INFO  (qtp693267461-23-null-23) [c: s: r: x:restaurants t:null-23] o.a.s.c.S.Request webapp=/solr path=/select params={q=latitude:[40.88736654793296+TO+41.067230869116706]+AND+longitude:[28.759324233428693+TO+28.997564759441417]&start=0&rows=3&wt=javabin&version=2} hits=3 status=0 QTime=1
2024-03-18 13:45:45.515 INFO  (qtp693267461-24-null-24) [c: s: r: x:restaurants t:null-24] o.a.s.c.S.Request webapp=/solr path=/select params={q=latitude:[40.97822666085157+TO+41.15809098203531]+AND+longitude:[28.877929806463108+TO+29.116499242446164]&start=0&rows=0&wt=javabin&version=2} hits=6 status=0 QTime=1
